what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690197118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690205965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690301451
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1459690312794
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1459690313294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690314354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690314448
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1459690314557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690314854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690317367
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1459690318693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690322702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690327850
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459690328132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690331658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690432777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690448568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690488057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690493081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690511570
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459690511804
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459690511960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690516141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690631761
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459690631792
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459690631963
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459690631963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690637033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690661091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690664647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690666441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690683492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690701393
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459690701673
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459690701892
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1459690701892
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459690703920
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459690705261
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459690714387
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1459690760009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690763113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459690776671
