what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1464704885906
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1464704885906
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1464704885906
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1464704885906
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1464704885921
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1464704885921
os,sysinfo,,,"win32",1464704885921
arch,sysinfo,,,"x86_64",1464704885921
ws,sysinfo,,,"win32",1464704885921
locale,sysinfo,,,"en_US",1464704885921
processors,sysinfo,,,"4",1464704885921
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1464704885921
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1464704885921
java.specification.name,sysinfo,,,"Java Platform API Specification",1464704885921
java.specification.vendor,sysinfo,,,"Oracle Corporation",1464704885921
java.specification.version,sysinfo,,,"1.7",1464704885921
java.vendor,sysinfo,,,"Oracle Corporation",1464704885921
java.version,sysinfo,,,"1.7.0_04",1464704885921
java.vm.info,sysinfo,,,"mixed mode",1464704885921
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1464704885921
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1464704885921
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1464704885921
java.vm.specification.version,sysinfo,,,"1.7",1464704885921
java.vm.vendor,sysinfo,,,"Oracle Corporation",1464704885921
java.vm.version,sysinfo,,,"23.0-b21",1464704885921
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1464704885937
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1464704886313
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464704991957
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464704992019
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464704992019
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464704995453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705003520
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1464705015096
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1464705015112
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1464705015190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705015299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705760015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705776302
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1464705800068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705800161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705800239
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1464705828267
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1464705828314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1464705828329
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1464705837444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705843465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705849396
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705849724
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1464705849864
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705849927
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1464705850256
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1464705853191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705876689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705901942
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705901988
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1464705902706
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1464705903018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705905888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705926893
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705927049
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705927080
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705927158
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705927189
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1464705927189
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705933429
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705939951
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1464705942291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1464705956275
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705958022
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705960924
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705962593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1464705971049
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1464705972094
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464705975388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464705991306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464706017717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1464706025971
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464706030183
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464706030183
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464706031915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1464706050219
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464706059209
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1464706059209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464706062969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1464706065917
